Año;Verde;Verde descafeinado;Tostado en grano;Tostado y molido;Extracto y soluble;Producto de Colombia (verde + industrializado);Total
2000;8.568;6;1;4;628;;9.207
2001;9.271;71;1;5;627;;9.975
2002;9.522;137;0;5;610;;10.274
2003;9.589;96;2;10;593;;10.290
2004;9.476;124;3;13;646;;10.262
2005;10.111;117;2;15;627;;10.872
2006;10.269;37;4;12;623;;10.945
2007;10.665;37;3;13;583;;11.301
2008;10.277;77;17;18;696;;11.085
2009;7.144;114;38;13;584;;7.893
2010;7.134;28;43;15;603;;7.822
2011;7.108;14;55;14;543;;7.734
2012;6.535;22;53;31;528;;7.169
2013;9.041;20;48;26;535;;9.671
2014;10.326;14;37;48;531;;10.957
2015;11.970;22;42;54;602;24;12.714
2016;11.034;9;40;52;708;1.001;12.845
2017;11.385;15;33;74;756;721;12.983
2018;11.316;17;38;59;779;542;12.751
2019;11.977;16;41;81;809;743;13.668
2020;10.684;13;44;90;880;817;12.527
